Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_mapped,clean_text,tokens,tb_polarity,tb_subjectivity,tb_sentiment
229,233," An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ", Numbness        ,2019-10-18 14:30:00, ResilientFortress , Twitter  , #Numbness #StoicResilience               ,11.0,22.0, UK            ,2019,10,18,14,Neutral,impenetrable numbness shield emotional storm fortress stoic resilience,"['impenetrable', 'numbness', 'shield', 'emotional', 'storm', 'fortress', 'stoic', 'resilience']",0.0,0.65,Neutral
230,234," Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ", Melancholy      ,2020-01-05 20:00:00, CanvasDreamer     , Instagram , #Melancholy #BittersweetMemories         ,13.0,26.0, USA          ,2020,1,5,20,Negative,melancholy painting world hue nostalgia canvas bittersweet memory,"['melancholy', 'painting', 'world', 'hue', 'nostalgia', 'canvas', 'bittersweet', 'memory']",0.0,0.0,Neutral
231,235," A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ", Nostalgia       ,2018-08-10 15:45:00, DiaryExplorer     , Facebook , #Nostalgia #DiaryJourney                 ,12.0,25.0, Canada        ,2018,8,10,15,Neutral,journey past flipping page old diary nostalgia taking lead,"['journey', 'past', 'flipping', 'page', 'old', 'diary', 'nostalgia', 'taking', 'lead']",-0.075,0.225,Negative
232,236," Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ", Ambivalence     ,2022-01-15 10:30:00, CrossroadsTraveler , Twitter  , #Ambivalence #ConflictingEmotions        ,15.0,30.0, India         ,2022,1,15,10,Neutral,ambivalence clouding decision caught crossroad conflicting emotion,"['ambivalence', 'clouding', 'decision', 'caught', 'crossroad', 'conflicting', 'emotion']",0.0,0.0,Neutral
233,237," Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ", Acceptance      ,2021-07-20 16:20:00, MosaicDreamer     , Instagram , #Acceptance #BeautifulChaos              ,18.0,36.0, Australia     ,2021,7,20,16,Neutral,embracing imperfection finding acceptance mosaic life beautiful chaos,"['embracing', 'imperfection', 'finding', 'acceptance', 'mosaic', 'life', 'beautiful', 'chaos']",0.85,1.0,Positive
234,238," Determination as the driving force, propelling me forward on the path to extraordinary achievements. ", Determination   ,2019-12-03 13:45:00, PathfinderSpirit  , Facebook , #Determination #ExtraordinaryPath        ,20.0,40.0, USA          ,2019,12,3,13,Neutral,determination driving force propelling forward path extraordinary achievement,"['determination', 'driving', 'force', 'propelling', 'forward', 'path', 'extraordinary', 'achievement']",0.3333333333333333,1.0,Positive
235,239," Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ", Serenity        ,2020-04-12 19:30:00, RaindropHarmony   , Twitter  , #Serenity #RaindropMelody                ,25.0,50.0, Canada        ,2020,4,12,19,Positive,seeking serenity melody raindrop tranquil escape noise everyday life,"['seeking', 'serenity', 'melody', 'raindrop', 'tranquil', 'escape', 'noise', 'everyday', 'life']",-0.2,0.6,Negative
236,240," Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ", Curiosity       ,2022-05-08 08:45:00, SeekerOfUnknowns  , Instagram , #Curiosity #SeekerOfKnowledge            ,22.0,45.0, UK            ,2022,5,8,8,Neutral,curiosity driving exploration unknown seeker knowledge uncharted territory,"['curiosity', 'driving', 'exploration', 'unknown', 'seeker', 'knowledge', 'uncharted', 'territory']",-0.1,0.6,Negative
237,241," Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ", Indifference    ,2023-02-22 17:00:00, NonchalantWanderer, Facebook , #Indifference #DriftingThroughLife       ,9.0,18.0, India         ,2023,2,22,17,Neutral,drifting day air nonchalance indifferent triviality life,"['drifting', 'day', 'air', 'nonchalance', 'indifferent', 'triviality', 'life']",0.0,0.0,Neutral
238,242," Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ", Confusion       ,2020-06-05 12:15:00, ShadowedSeeker    , Twitter  , #Confusion #LabyrinthOfThoughts          ,14.0,28.0, Australia    ,2020,6,5,12,Neutral,lost labyrinth thought confusion casting shadow quest clarity,"['lost', 'labyrinth', 'thought', 'confusion', 'casting', 'shadow', 'quest', 'clarity']",0.0,0.0,Neutral
239,243," Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ", Numbness        ,2021-11-30 15:30:00, TurbulentShield   , Instagram , #Numbness #EmotionalStorms               ,10.0,20.0, Canada        ,2021,11,30,15,Neutral,wrapped cloak emotional numbness shield storm life turbulence,"['wrapped', 'cloak', 'emotional', 'numbness', 'shield', 'storm', 'life', 'turbulence']",0.0,0.65,Neutral
240,244," Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ", Melancholy      ,2019-02-25 21:00:00, WistfulPainter    , Facebook , #Melancholy #WistfulYearning             ,13.0,26.0, UK            ,2019,2,25,21,Negative,melancholy companion painting canvas life brushstrokes wistful yearning,"['melancholy', 'companion', 'painting', 'canvas', 'life', 'brushstrokes', 'wistful', 'yearning']",0.0,0.0,Neutral
241,245," Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ", Nostalgia       ,2017-05-18 14:45:00, TaleWeaver        , Twitter  , #Nostalgia #PhotoAlbumStories            ,12.0,25.0, USA          ,2017,5,18,14,Neutral,leafing page old photo album nostalgia weaving tale laughter tear,"['leafing', 'page', 'old', 'photo', 'album', 'nostalgia', 'weaving', 'tale', 'laughter', 'tear']",0.1,0.2,Positive
242,246," Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ", Ambivalence     ,2022-08-05 11:30:00, CrossroadsExplorer, Instagram , #Ambivalence #CrossroadsConfusion        ,15.0,30.0, Canada        ,2022,8,5,11,Neutral,ambivalence air caught crossroad conflicting emotion decision,"['ambivalence', 'air', 'caught', 'crossroad', 'conflicting', 'emotion', 'decision']",0.0,0.0,Neutral
243,247," Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ", Acceptance      ,2023-06-15 16:20:00, MosaicArtist      , Facebook , #Acceptance #UnpredictableArt            ,18.0,36.0, Australia    ,2023,6,15,16,Neutral,embracing beauty imperfection finding acceptance mosaic life unpredictable art,"['embracing', 'beauty', 'imperfection', 'finding', 'acceptance', 'mosaic', 'life', 'unpredictable', 'art']",-0.16666666666666666,1.0,Negative
244,248," Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ", Determination   ,2021-10-10 14:45:00, DreamSculptor     , Twitter  , #Determination #SculptingDreams          ,20.0,40.0, UK            ,2021,10,10,14,Neutral,determination ablaze forging path challenge sculpting dream tangible reality,"['determination', 'ablaze', 'forging', 'path', 'challenge', 'sculpting', 'dream', 'tangible', 'reality']",0.0,0.0,Neutral
245,249," Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ", Serenity        ,2020-05-12 19:30:00, MoonlitSoul       , Instagram , #Serenity #MoonlitPeace                  ,25.0,50.0, USA          ,2020,5,12,19,Positive,immerse serenity moonlit night quiet whisper nature bring peace soul,"['immerse', 'serenity', 'moonlit', 'night', 'quiet', 'whisper', 'nature', 'bring', 'peace', 'soul']",0.0,0.3333333333333333,Neutral
246,250," Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ", Curiosity       ,2022-12-01 09:15:00, FearlessExplorer  , Facebook , #Curiosity #FearlessExplorer              ,22.0,44.0, India         ,2022,12,1,9,Neutral,fueled curiosity venturing uncharted realm fearless explorer mystery world,"['fueled', 'curiosity', 'venturing', 'uncharted', 'realm', 'fearless', 'explorer', 'mystery', 'world']",0.0,0.0,Neutral
247,251,"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ", Numbness ,2021-11-30 15:30:00, TurbulentShield , Instagram , #Numbness #EmotionalStorms ,10.0,20.0, Canada ,2021,11,30,15,Neutral,wrapped cloak emotional numbness shield storm life turbulence,"['wrapped', 'cloak', 'emotional', 'numbness', 'shield', 'storm', 'life', 'turbulence']",0.0,0.65,Neutral
248,252," Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ", Zest ,2018-07-12 17:45:00, JoyfulDancer , Twitter , #Zest #CarefreeSpirit ,15.0,30.0, USA ,2018,7,12,17,Positive,dancing life exuberance carefree spirit embracing joy zest every turn,"['dancing', 'life', 'exuberance', 'carefree', 'spirit', 'embracing', 'joy', 'zest', 'every', 'turn']",0.8,0.2,Positive
249,253," Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ", Contentment ,2020-09-05 20:10:00, SereneBasker , Facebook , #Contentment #GoldenGlow ,18.0,36.0, Australia ,2020,9,5,20,Positive,basking golden glow contentment serene river flowing landscape heart,"['basking', 'golden', 'glow', 'contentment', 'serene', 'river', 'flowing', 'landscape', 'heart']",0.3,0.5,Positive
250,254," Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ", Hopeful ,2022-04-18 08:00:00, DreamPainter , Instagram , #Hopeful #CanvasOfDreams ,12.0,24.0, India ,2022,4,18,8,Positive,gazing towards horizon hopeful eye painting canvas dream illuminated sun optimism,"['gazing', 'towards', 'horizon', 'hopeful', 'eye', 'painting', 'canvas', 'dream', 'illuminated', 'sun', 'optimism']",0.0,0.0,Neutral
251,255," Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ", Proud ,2019-12-10 12:20:00, OakAchiever , Twitter , #Proud #BranchesOfAchievement ,25.0,50.0, Canada ,2019,12,10,12,Positive,standing tall proud oak branch achievement reaching towards sky accomplishment,"['standing', 'tall', 'proud', 'oak', 'branch', 'achievement', 'reaching', 'towards', 'sky', 'accomplishment']",0.8,1.0,Positive
252,256," A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ", Grateful ,2023-02-28 09:45:00, HeartGardener , Facebook , #Grateful #BlossomingConnection ,20.0,40.0, USA ,2023,2,28,9,Positive,heart overflowing gratitude garden appreciation bloom soil kindness connection,"['heart', 'overflowing', 'gratitude', 'garden', 'appreciation', 'bloom', 'soil', 'kindness', 'connection']",0.0,0.0,Neutral
253,257," Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ", Empathetic ,2018-04-03 14:15:00, ThreadWeaver , Instagram , #Empathetic #TapestryOfUnderstanding ,15.0,30.0, UK ,2018,4,3,14,Neutral,extending hand empathetic thread weaving tapestry understanding embracing joy sorrow others,"['extending', 'hand', 'empathetic', 'thread', 'weaving', 'tapestry', 'understanding', 'embracing', 'joy', 'sorrow', 'others']",0.0,0.0,Neutral
254,258," Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ", Compassionate ,2022-06-20 10:30:00, CloudCaretaker , Twitter , #Compassionate #ShowerOfEmpathy ,18.0,36.0, Australia ,2022,6,20,10,Neutral,compassionate cloud heavy care showering empathy parched ground human suffering,"['compassionate', 'cloud', 'heavy', 'care', 'showering', 'empathy', 'parched', 'ground', 'human', 'suffering']",-0.1,0.3,Negative
255,259," Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ", Playful ,2020-07-08 18:00:00, RainDancer , Facebook , #Playful #DanceInTheRain ,22.0,44.0, Canada ,2020,7,8,18,Positive,playfully dancing rain laughter whimsical spirit twirling puddle joy lightheartedness,"['playfully', 'dancing', 'rain', 'laughter', 'whimsical', 'spirit', 'twirling', 'puddle', 'joy', 'lightheartedness']",0.15000000000000002,0.35,Positive
256,260," Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ", Free-spirited ,2021-08-15 11:10:00, SkyPainter , Instagram , #FreeSpirit #PaintingTheSky ,20.0,40.0, India ,2021,8,15,11,Neutral,soaring wing free spirit unburdened chain conformity painting sky independence,"['soaring', 'wing', 'free', 'spirit', 'unburdened', 'chain', 'conformity', 'painting', 'sky', 'independence']",0.4,0.8,Positive
257,261," Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ", Inspired ,2019-10-25 16:50:00, PhoenixExplorer , Twitter , #Inspired #CreativePhoenix ,15.0,30.0, UK ,2019,10,25,16,Positive,bathed glow inspiration creative phoenix rising ash ordinary thought explore new realm,"['bathed', 'glow', 'inspiration', 'creative', 'phoenix', 'rising', 'ash', 'ordinary', 'thought', 'explore', 'new', 'realm']",0.12878787878787878,0.6515151515151515,Positive
258,262," Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ", Hopeful ,2023-10-05 07:30:00, SunriseNavigator , Facebook , #Hopeful #SunriseOfPossibilities ,12.0,24.0, USA ,2023,10,5,7,Positive,navigating sea hope sailing towards sunrise possibility confident ship positive anticipation,"['navigating', 'sea', 'hope', 'sailing', 'towards', 'sunrise', 'possibility', 'confident', 'ship', 'positive', 'anticipation']",0.36363636363636365,0.6893939393939394,Positive
259,263," Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ", Confident ,2022-02-15 13:15:00, SandStrider , Instagram , #Confident #FootprintsOfAssuredness ,25.0,50.0, Australia ,2022,2,15,13,Neutral,striding confidence footprint selfassuredness imprinted sand challenge conquered victory claimed,"['striding', 'confidence', 'footprint', 'selfassuredness', 'imprinted', 'sand', 'challenge', 'conquered', 'victory', 'claimed']",0.0,0.0,Neutral
260,264," Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ", Serenity ,2021-05-08 22:00:00, NightSerenader , Twitter , #Serenity #MoonlitSerenade ,13.0,26.0, Canada ,2021,5,8,22,Positive,lost symphony night moonlit serenade whisper tale wanderlust moonlit dream,"['lost', 'symphony', 'night', 'moonlit', 'serenade', 'whisper', 'tale', 'wanderlust', 'moonlit', 'dream']",0.0,0.0,Neutral
261,265," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ", Curiosity ,2020-11-29 14:45:00, KnowledgeSeeker , Instagram , #Curiosity #LabyrinthOfQuestions ,17.0,34.0, USA ,2020,11,29,14,Neutral,unveiling layer curiosity labyrinth question leading treasure trove undiscovered knowledge,"['unveiling', 'layer', 'curiosity', 'labyrinth', 'question', 'leading', 'treasure', 'trove', 'undiscovered', 'knowledge']",0.0,0.0,Neutral
262,266," In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ", Ambivalence ,2019-09-14 10:20:00, BreezeWaltzer , Facebook , #Ambivalence #AutumnWaltz ,14.0,28.0, UK ,2019,9,14,10,Neutral,embrace autumn breeze leaf ambivalence dancing waltz choice uncertainty,"['embrace', 'autumn', 'breeze', 'leaf', 'ambivalence', 'dancing', 'waltz', 'choice', 'uncertainty']",0.0,0.0,Neutral
263,267," Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ", Grateful ,2022-03-12 19:55:00, StarNavigator , Twitter , #Grateful #GuidingStar ,19.0,38.0, Australia ,2022,3,12,19,Positive,gratitude guiding star navigating constellation blessing vast universe life precious moment,"['gratitude', 'guiding', 'star', 'navigating', 'constellation', 'blessing', 'vast', 'universe', 'life', 'precious', 'moment']",0.25,1.0,Positive
264,268," With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ", Zest ,2023-03-30 16:30:00, MeadowSprinter , Instagram , #Zest #FieldsOfEnthusiasm ,16.0,32.0, India ,2023,3,30,16,Positive,zestful heart sprinting field enthusiasm chasing sunbeam laughter meadow joy,"['zestful', 'heart', 'sprinting', 'field', 'enthusiasm', 'chasing', 'sunbeam', 'laughter', 'meadow', 'joy']",0.8,0.2,Positive
265,269," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ", Compassionate ,2021-07-01 12:10:00, RainNurturer , Facebook , #Compassionate #TearsOfEmpathy ,21.0,42.0, Canada ,2021,7,1,12,Neutral,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,"['compassionate', 'rain', 'tear', 'empathy', 'falling', 'gently', 'nurturing', 'seed', 'kindness', 'garden', 'human', 'connection']",0.1,0.45,Positive
266,270," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ", Proud ,2020-01-05 08:45:00, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23.0,46.0, USA ,2020,1,5,8,Positive,proudly scaling peak achievement mountaineer conquering challenge planting flag success,"['proudly', 'scaling', 'peak', 'achievement', 'mountaineer', 'conquering', 'challenge', 'planting', 'flag', 'success']",0.55,0.5,Positive
267,271," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ", Hopeful ,2022-07-17 06:15:00, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14.0,28.0, UK ,2022,7,17,6,Positive,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,"['embraced', 'hopeful', 'dawn', 'gardener', 'sowing', 'seed', 'optimism', 'tending', 'bloom', 'brighter', 'tomorrow']",0.0,0.0,Neutral
268,272," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ", Playful ,2018-08-22 17:20:00, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17,Positive,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,"['playful', 'escapade', 'carnival', 'life', 'carousel', 'laughter', 'cotton', 'candy', 'dream', 'swirling', 'joyous', 'atmosphere']",0.0,0.0,Neutral
269,273," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ", Inspired ,2021-12-08 14:30:00, SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18.0,36.0, India ,2021,12,8,14,Positive,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream,"['floating', 'cloud', 'inspiration', 'artist', 'painting', 'sky', 'stroke', 'creativity', 'creating', 'masterpiece', 'dream']",0.0,0.0,Neutral
270,274," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ", Contentment ,2019-04-27 09:50:00, RiverNavigator , Instagram , #Contentment #TranquilWaters ,20.0,40.0, Canada ,2019,4,27,9,Positive,navigating river contentment serene boat cruise tranquil water inner peace acceptance,"['navigating', 'river', 'contentment', 'serene', 'boat', 'cruise', 'tranquil', 'water', 'inner', 'peace', 'acceptance']",0.0,0.16666666666666666,Neutral
271,275," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ", Empathetic ,2023-09-03 21:40:00, LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16.0,32.0, USA ,2023,9,3,21,Neutral,empathy lantern wandering dark alley sorrow illuminating path compassion care,"['empathy', 'lantern', 'wandering', 'dark', 'alley', 'sorrow', 'illuminating', 'path', 'compassion', 'care']",-0.15,0.4,Negative
272,276," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ", Free-spirited ,2020-06-10 10:05:00, DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22.0,44.0, UK ,2020,6,10,10,Neutral,free spirit soaring wing dream leaving trail independence azure sky boundless possibility,"['free', 'spirit', 'soaring', 'wing', 'dream', 'leaving', 'trail', 'independence', 'azure', 'sky', 'boundless', 'possibility']",0.1,0.75,Positive
273,277," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ", Grateful ,2022-04-01 18:30:00, SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19.0,38.0, Australia ,2022,4,1,18,Positive,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart,"['bathed', 'golden', 'hue', 'gratefulness', 'sunset', 'appreciation', 'casting', 'warm', 'glow', 'landscape', 'heart']",0.44999999999999996,0.55,Positive
274,278," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ", Confident ,2021-01-15 13:00:00, DanceStrider , Facebook , #Confident #DanceOfLife ,23.0,46.0, Canada ,2021,1,15,13,Neutral,confident stride dance life ballroom selfassuredness lead twirling challenge grace,"['confident', 'stride', 'dance', 'life', 'ballroom', 'selfassuredness', 'lead', 'twirling', 'challenge', 'grace']",0.5,0.8333333333333334,Positive
275,279," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ", Hopeful ,2023-05-06 07:20:00, WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15.0,30.0, India ,2023,5,6,7,Positive,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility,"['hopeful', 'whisper', 'wind', 'carrying', 'promise', 'brighter', 'tomorrow', 'symphony', 'optimism', 'air', 'possibility']",0.0,0.0,Neutral
276,280," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ", Playful ,2019-11-18 15:15:00, JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25.0,50.0, USA ,2019,11,18,15,Positive,playfully juggling responsibility circus performer balancing act work joy tossing laughter air,"['playfully', 'juggling', 'responsibility', 'circus', 'performer', 'balancing', 'act', 'work', 'joy', 'tossing', 'laughter', 'air']",0.8,0.2,Positive
277,281," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ", Inspired ,2020-08-29 20:45:00, StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14.0,28.0, UK ,2020,8,29,20,Positive,whispering tale inspiration star storyteller crafting constellation thread imagination,"['whispering', 'tale', 'inspiration', 'star', 'storyteller', 'crafting', 'constellation', 'thread', 'imagination']",0.0,0.0,Neutral
278,282," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ", Hopeful ,2022-10-30 11:40:00, WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17.0,34.0, Australia ,2022,10,30,11,Positive,charting course wave hopeful anticipation sailor steering towards shore dream yet unexplored,"['charting', 'course', 'wave', 'hopeful', 'anticipation', 'sailor', 'steering', 'towards', 'shore', 'dream', 'yet', 'unexplored']",0.0,0.0,Neutral
279,283," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ", Compassionate ,2021-07-01 12:10:00, RainNurturer , Instagram , #Compassionate #TearsOfEmpathy ,21.0,42.0, Canada ,2021,7,1,12,Neutral,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,"['compassionate', 'rain', 'tear', 'empathy', 'falling', 'gently', 'nurturing', 'seed', 'kindness', 'garden', 'human', 'connection']",0.1,0.45,Positive
280,284," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ", Proud ,2020-01-05 08:45:00, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23.0,46.0, USA ,2020,1,5,8,Positive,proudly scaling peak achievement mountaineer conquering challenge planting flag success,"['proudly', 'scaling', 'peak', 'achievement', 'mountaineer', 'conquering', 'challenge', 'planting', 'flag', 'success']",0.55,0.5,Positive
281,285," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ", Hopeful ,2022-07-17 06:15:00, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14.0,28.0, UK ,2022,7,17,6,Positive,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,"['embraced', 'hopeful', 'dawn', 'gardener', 'sowing', 'seed', 'optimism', 'tending', 'bloom', 'brighter', 'tomorrow']",0.0,0.0,Neutral
282,286," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ", Playful ,2018-08-22 17:20:00, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17,Positive,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,"['playful', 'escapade', 'carnival', 'life', 'carousel', 'laughter', 'cotton', 'candy', 'dream', 'swirling', 'joyous', 'atmosphere']",0.0,0.0,Neutral
283,287," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ", Inspired ,2021-12-08 14:30:00, SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18.0,36.0, India ,2021,12,8,14,Positive,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream,"['floating', 'cloud', 'inspiration', 'artist', 'painting', 'sky', 'stroke', 'creativity', 'creating', 'masterpiece', 'dream']",0.0,0.0,Neutral
284,288," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ", Contentment ,2019-04-27 09:50:00, RiverNavigator , Instagram , #Contentment #TranquilWaters ,20.0,40.0, Canada ,2019,4,27,9,Positive,navigating river contentment serene boat cruise tranquil water inner peace acceptance,"['navigating', 'river', 'contentment', 'serene', 'boat', 'cruise', 'tranquil', 'water', 'inner', 'peace', 'acceptance']",0.0,0.16666666666666666,Neutral
285,289," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ", Empathetic ,2023-09-03 21:40:00, LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16.0,32.0, USA ,2023,9,3,21,Neutral,empathy lantern wandering dark alley sorrow illuminating path compassion care,"['empathy', 'lantern', 'wandering', 'dark', 'alley', 'sorrow', 'illuminating', 'path', 'compassion', 'care']",-0.15,0.4,Negative
286,290," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ", Free-spirited ,2020-06-10 10:05:00, DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22.0,44.0, UK ,2020,6,10,10,Neutral,free spirit soaring wing dream leaving trail independence azure sky boundless possibility,"['free', 'spirit', 'soaring', 'wing', 'dream', 'leaving', 'trail', 'independence', 'azure', 'sky', 'boundless', 'possibility']",0.1,0.75,Positive
287,291," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ", Grateful ,2022-04-01 18:30:00, SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19.0,38.0, Australia ,2022,4,1,18,Positive,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart,"['bathed', 'golden', 'hue', 'gratefulness', 'sunset', 'appreciation', 'casting', 'warm', 'glow', 'landscape', 'heart']",0.44999999999999996,0.55,Positive
288,292," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ", Confident ,2021-01-15 13:00:00, DanceStrider , Facebook , #Confident #DanceOfLife ,23.0,46.0, Canada ,2021,1,15,13,Neutral,confident stride dance life ballroom selfassuredness lead twirling challenge grace,"['confident', 'stride', 'dance', 'life', 'ballroom', 'selfassuredness', 'lead', 'twirling', 'challenge', 'grace']",0.5,0.8333333333333334,Positive
289,293," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ", Hopeful ,2023-05-06 07:20:00, WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15.0,30.0, India ,2023,5,6,7,Positive,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility,"['hopeful', 'whisper', 'wind', 'carrying', 'promise', 'brighter', 'tomorrow', 'symphony', 'optimism', 'air', 'possibility']",0.0,0.0,Neutral
290,294," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ", Playful ,2019-11-18 15:15:00, JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25.0,50.0, USA ,2019,11,18,15,Positive,playfully juggling responsibility circus performer balancing act work joy tossing laughter air,"['playfully', 'juggling', 'responsibility', 'circus', 'performer', 'balancing', 'act', 'work', 'joy', 'tossing', 'laughter', 'air']",0.8,0.2,Positive
291,295," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ", Inspired ,2020-08-29 20:45:00, StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14.0,28.0, UK ,2020,8,29,20,Positive,whispering tale inspiration star storyteller crafting constellation thread imagination,"['whispering', 'tale', 'inspiration', 'star', 'storyteller', 'crafting', 'constellation', 'thread', 'imagination']",0.0,0.0,Neutral
